indices,season,team,name,age,height,weight,pcs points,uci points,pcs points till tdf,uci points till tdf,race days till tdf,tdf attended,vuelta attended,giro attended,last season pcs points,last season uci points
197,2010,8,478,37.0,1.83,65.0,952.0,136.0,543.0,124.0,38,True,True,False,1284.0,0.0
198,2010,8,461,45.0,1.75,64.0,58.0,32.0,58.0,32.0,16,False,False,False,354.0,12.0
199,2010,8,1472,38.0,1.77,62.0,271.0,23.0,97.0,21.0,42,False,True,False,287.0,4.0
200,2010,8,34,44.0,1.85,74.0,122.0,1.0,52.0,1.0,51,True,False,False,264.0,0.0
201,2010,8,192,45.0,1.79,60.0,281.0,48.0,159.0,6.0,46,True,False,True,386.0,0.0
202,2010,8,1427,36.0,1.91,75.0,440.0,46.0,221.0,46.0,49,True,False,False,82.0,0.0
203,2010,8,959,42.0,1.76,76.0,275.0,27.0,161.0,20.0,49,False,False,False,179.0,0.0
204,2010,8,820,37.0,1.8,72.0,398.0,118.0,345.0,118.0,51,False,False,True,133.0,0.0
205,2010,8,663,37.0,1.86,73.0,102.0,4.0,5.0,0.0,25,False,True,False,35.0,0.0
206,2010,8,1075,34.0,1.82,70.0,117.0,7.0,51.0,7.0,52,False,False,False,45.0,0.0
207,2010,8,1041,38.0,1.86,77.0,170.0,0.0,90.0,0.0,39,False,False,True,83.0,0.0
208,2010,8,1039,42.0,1.67,58.0,234.0,1.0,75.0,1.0,31,False,True,False,211.0,0.0
209,2010,8,1669,39.0,1.76,58.0,282.0,25.0,187.0,25.0,57,False,True,False,109.0,40.0
210,2010,8,494,44.0,1.82,65.0,146.0,0.0,108.0,0.0,27,True,False,False,263.0,0.0
211,2010,8,312,36.0,1.9,80.0,250.0,46.0,80.0,0.0,41,False,True,False,211.0,0.0
212,2010,8,1269,38.0,1.78,72.0,172.0,9.0,144.0,9.0,61,False,False,True,165.0,15.0
213,2010,8,256,38.0,1.87,74.0,283.0,12.0,278.0,12.0,60,False,False,True,247.0,0.0
214,2010,8,1053,36.0,1.83,72.0,232.0,4.0,122.0,4.0,43,True,False,False,48.0,0.0
215,2010,8,1016,41.0,1.87,75.0,131.0,5.0,10.0,0.0,55,True,False,False,113.0,0.0
216,2010,8,1321,44.0,1.82,67.0,79.0,0.0,15.0,0.0,29,False,True,False,291.0,0.0
217,2010,8,838,43.0,1.85,70.0,90.0,1.0,75.0,1.0,53,False,False,True,66.0,0.0
218,2010,8,1402,44.0,1.79,65.0,131.0,0.0,81.0,0.0,51,True,False,False,47.0,0.0
219,2010,8,1425,40.0,1.84,70.0,180.0,4.0,170.0,4.0,53,False,False,True,20.0,0.0
220,2010,8,1513,34.0,1.73,65.0,26.0,0.0,2.0,0.0,4,False,False,False,22.0,0.0
221,2010,9,515,39.0,1.9,75.0,193.0,0.0,117.0,0.0,44,True,True,False,262.0,0.0
222,2010,9,497,43.0,1.76,60.0,472.0,25.0,198.0,5.0,34,True,False,True,583.0,56.0
