season,team,name,age,height,weight,pcs points,uci points,pcs points till tdf,uci points till tdf,race days till tdf,tdf attended,vuelta attended,giro attended,last season pcs points,last season uci points
2010,Lampre - Farnese Vini,CUNEGO Damiano,42,1.69,58,760.0,133.0,457.0,121.0,45,True,False,True,1243.0,0.0
2010,Lampre - Farnese Vini,ULISSI Diego,34,1.75,63,221.0,12.0,16.0,11.0,32,False,False,False,7.0,0.0
2010,Lampre - Farnese Vini,SIMONI Gilberto,52,1.7,59,20.0,0.0,20.0,0.0,26,False,False,True,182.0,12.0
2010,Lampre - Farnese Vini,HONDO Danilo,49,1.84,73,472.0,29.0,296.0,29.0,56,True,True,True,445.0,0.0
2010,Lampre - Farnese Vini,GAVAZZI Francesco,39,1.71,65,654.0,30.0,379.0,14.0,45,True,False,False,736.0,90.0
2010,Lampre - Farnese Vini,ŠPILAK Simon,37,1.76,68,587.0,110.0,490.0,110.0,42,True,False,False,101.0,0.0
2010,Lampre - Farnese Vini,BOLE Grega,38,1.77,69,687.0,114.0,205.0,19.0,33,True,True,False,554.0,0.0
2010,Lampre - Farnese Vini,PASQUALON Andrea,35,1.74,68,30.0,0.0,15.0,0.0,7,False,False,False,12.0,0.0
2010,Lampre - Farnese Vini,MORI Manuele,43,1.72,62,254.0,10.0,116.0,10.0,38,False,True,False,167.0,10.0
2010,Lampre - Farnese Vini,KASHECHKIN Andrey,43,1.85,70,113.0,0.0,0,0,0,False,True,False,10.0,0.0
2010,Lampre - Farnese Vini,PONZI Simone,36,1.78,63,86.0,0.0,14.0,0.0,24,False,False,False,57.0,0.0
2010,Lampre - Farnese Vini,PIETROPOLLI Daniele,43,1.74,61,295.0,5.0,139.0,5.0,35,False,True,False,450.0,24.0
2010,Lampre - Farnese Vini,FURLAN Angelo,46,1.72,72,177.0,0.0,49.0,0.0,33,False,True,False,209.0,0.0
2010,Lampre - Farnese Vini,MALORI Adriano,35,1.82,68,188.0,0.0,144.0,0.0,37,True,False,False,35.0,0.0
2010,Lampre - Farnese Vini,BERNUCCI Lorenzo,44,1.83,72,33.0,0.0,33.0,0.0,25,False,False,False,99.0,0.0
2010,Lampre - Farnese Vini,BUTS Vitaliy,37,1.76,68,37.0,0.0,0.0,0.0,27,False,False,False,153.0,0.0
2010,Lampre - Farnese Vini,LORENZETTO Mirco,42,1.75,71,199.0,7.0,76.0,1.0,47,True,False,False,166.0,3.0
2010,Lampre - Farnese Vini,MARZANO Marco,43,1.71,58,126.0,0.0,50.0,0.0,52,False,True,True,236.0,56.0
2010,Lampre - Farnese Vini,RIGHI Daniele,47,1.8,70,104.0,6.0,65.0,6.0,54,False,True,True,108.0,0.0
2010,Lampre - Farnese Vini,RABOTTINI Matteo,36,,,6.0,0.0,6.0,0.0,10,False,False,False,6.0,0.0
2010,Lampre - Farnese Vini,SAPA Marcin,47,1.79,82,42.0,0.0,32.0,0.0,21,False,False,False,59.0,0.0
2010,Lampre - Farnese Vini,SPEZIALETTI Alessandro,48,1.79,67,41.0,0.0,35.0,0.0,48,False,False,True,26.0,0.0
2010,Lampre - Farnese Vini,BONO Matteo,39,1.71,60,55.0,0.0,50.0,0.0,56,False,False,True,44.0,0.0
2010,Lampre - Farnese Vini,LOOSLI David,43,1.82,71,55.0,2.0,55.0,2.0,53,False,False,True,115.0,0.0
2010,Lampre - Farnese Vini,DA DALTO Mauro,42,1.81,72,64.0,0.0,19.0,0.0,44,True,False,False,57.0,0.0
2010,Lampre - Farnese Vini,ROCCHETTI Federico,37,,,7.0,0.0,0.0,0.0,8,False,False,False,1.0,0.0
2010,Lampre - Farnese Vini,BALLONI Alfredo,34,1.86,72,10.0,0.0,0.0,0.0,32,False,False,False,29.0,0.0
2010,Lampre - Farnese Vini,GRENDENE Andrea,37,,,21.0,0.0,15.0,0.0,17,False,False,False,13.0,0.0
2010,Lampre - Farnese Vini,MAGAZZINI Enrico,35,1.69,58,21.0,0.0,10.0,0.0,33,False,False,False,39.0,0.0
2010,Liquigas - Doimo,SAGAN Peter,33,1.82,78,911.0,179.0,593.0,105.0,38,False,False,False,88.0,0.0
2010,Liquigas - Doimo,NIBALI Vincenzo,38,1.81,65,2012.0,210.0,940.0,142.0,50,False,True,True,1058.0,185.0
2010,Liquigas - Doimo,BASSO Ivan,45,1.82,70,890.0,206.0,751.0,206.0,44,True,False,True,1092.0,0.0
2010,Liquigas - Doimo,VIVIANI Elia,34,1.78,67,298.0,24.0,37.0,0.0,35,False,False,False,4.0,0.0
2010,Liquigas - Doimo,BENNATI Daniele,43,1.83,71,615.0,93.0,260.0,58.0,38,False,True,False,852.0,130.0
2010,Liquigas - Doimo,KREUZIGER Roman,37,1.83,65,952.0,136.0,543.0,124.0,38,True,True,False,1284.0,0.0
